rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
ROBO A BORDO DE METRO C.V.,2,2022-12,2023-12,0,2,21186,HORMIGA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,33196,HUIPULCO-HOSPITALES,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,1,1,16877,IZTACCIHUATL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,30260,LA NORIA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,14968,LA RAZA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-2,2022-12,2023-12,4,2,16393,LINDAVISTA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,2,2,12330,MERCED-BALBUENA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,24021,MILPA ALTA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,2,2022-12,2023-12,0,2,5681,MIXCALCO-HERALDO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,33579,MIXQUIC,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,1,0,12102,MOCTEZUMA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,12649,MORELOS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,7856,NAPOLES,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,3,2,9808,NARVARTE-ALAMOS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,0,1,6406,NATIVITAS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,0,1,,NO ESPECIFICADO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,1,1,24085,OASIS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,47637,PADIERNA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,6,2022-12,2023-12,2,8,13284,PANTITLAN,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,45966,PLATEROS,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,5611,POLANCO-CASTILLO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,12243,PORTALES,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,36217,PRADERA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,43116,QUETZAL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,2,2022-12,2023-12,0,2,30408,QUIROGA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,5,2022-12,2023-12,0,5,4141,REVOLUCION-ALAMEDA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,2,3,7814,ROMA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,7894,SAN ANGEL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,23185,SAN JERONIMO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,37989,SANTA CRUZ,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,40065,SANTA FE,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,31666,SOTELO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,2,1,18220,TACUBA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,2,1,13102,TACUBAYA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,14638,TAXQUEÑA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,13235,TECOMITL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-1,2022-12,2023-12,1,0,25702,TEOTONGO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,43511,TEPEPAN,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,2,2022-12,2023-12,0,2,9609,TEPEYAC,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,1,2022-12,2023-12,0,1,36811,TEZONCO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,17800,TICOMAN,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,-2,2022-12,2023-12,4,2,18974,TLACOTAL,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,16096,TLATELOLCO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,27528,UNIVERSIDAD,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,24813,XOTEPINGO,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,31280,ZAPOTITLA,2022-01,2023-01
ROBO A BORDO DE METRO C.V.,0,2022-12,2023-12,0,0,8502,ZARAGOZA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-9,2022-12,2023-12,14,5,22143,ABASTO-REFORMA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,31805,ALPES,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-10,2022-12,2023-12,24,14,4441,ANGEL-ZONA ROSA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-7,2022-12,2023-12,22,15,30506,ARAGON,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-4,2022-12,2023-12,29,25,22309,ARENAL,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-19,2022-12,2023-12,97,78,12999,ASTURIAS,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-24,2022-12,2023-12,85,61,9110,BUENAVISTA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,13501,CHAPULTEPEC,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,1,2022-12,2023-12,5,6,13900,CHURUBUSCO,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,2,2022-12,2023-12,2,4,23963,CLAVERIA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,9495,COAPA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-22,2022-12,2023-12,37,15,12135,CONGRESO,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,1,2022-12,2023-12,5,6,15715,CONSULADO,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-9,2022-12,2023-12,34,25,10129,CORREDOR-CENTRO,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-1,2022-12,2023-12,6,5,14705,COYOACAN,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,24009,CUAJIMALPA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,30453,CUAUTEPEC,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,3,3,20511,CUCHILLA,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,11851,CUITLAHUAC,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,-1,2022-12,2023-12,1,0,18589,CULHUACAN,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,5,2022-12,2023-12,22,27,7971,DEL VALLE,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,24310,DINAMO,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,0,2022-12,2023-12,0,0,20452,EL YAQUI,2022-01,2023-01
ROBO A BORDO DE METRO S.V.,3,2022-12,2023-12,1,4,32788,ESTRELLA,2022-01,2023-01
